Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Confidence in Retrieval;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive Conflict and Learning;10;1;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Automatic Encoding;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Autistic Thinking;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Competence-Based Knowledge Space Theory;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Age-Related Differences in Achievement Goal Differentiation;2;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cultural Development;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cultural-Historical Activity Theory;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Control Processes;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Approaches to Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Associative Strength;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer-Supported Cooperative Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Adaptive Evaluation Systems;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
